state,year,state_pop,total_number_of_events,fed_amount
AK,2000,627963.0,1,10444042.35
MD,2000,5311034.0,1,10554076.39
OH,2000,11363543.0,3,3229233.38
VT,2000,609618.0,1,2362694.2800000003
ME,2000,1277072.0,1,2079226.57
NY,2000,19001780.0,3,39236079.06
ID,2000,1299430.0,1,0.0
AZ,2000,5160586.0,1,5417229.57
MI,2000,9952450.0,1,0.0
MN,2000,4933692.0,2,11294920.29
CA,2000,33987977.0,1,0.0
MO,2000,5607285.0,2,2443912.25
NM,2000,1821204.0,7,9752329.1
SC,2000,4024223.0,1,10694407.95
AR,2000,2678588.0,2,181545584.2
HI,2000,1213519.0,2,4016825.21
WV,2000,1807021.0,1,4978088.2
NJ,2000,8430621.0,2,6890793.11
CO,2000,4326921.0,3,0.0
TX,2000,20944499.0,18,3633285.37
GA,2000,8227303.0,2,37861252.120000005
MT,2000,903773.0,8,2049746.26
SD,2000,755844.0,3,1705191.6700000002
TN,2000,5703719.0,4,3541378.16
NC,2000,8081614.0,1,26609711.37
FL,2000,16047515.0,12,302898079.06
ND,2000,642023.0,2,39625174.48
WI,2000,5373999.0,1,10432563.75
DC,2000,572046.0,2,1587267.47
WA,2000,5910512.0,3,0.0
WY,2000,494300.0,2,648349.9199999999
NV,2000,2018741.0,3,0.0
OK,2000,3454365.0,5,2720093.51
LA,2000,4471885.0,2,2494595.2800000003
KS,2000,2693681.0,1,587135.46
AL,2000,4452173.0,4,4282385.82
VA,2000,7105817.0,1,13232167.16
KY,2000,4049021.0,4,7203270.290000001
TN,2001,5750789.0,3,3546143.28
WV,2001,1801481.0,3,27123911.419999998
MI,2001,9991120.0,1,8809499.06
SD,2001,757972.0,2,4853341.75
NH,2001,1255517.0,1,3268895.56
NV,2001,2098399.0,2,0.0
MN,2001,4982796.0,1,34908086.48
MT,2001,906961.0,2,1627798.35
NM,2001,1831690.0,1,0.0
GA,2001,8377038.0,1,0.0
TX,2001,21319622.0,4,466408246.15999997
MS,2001,2852994.0,4,27316312.72
OR,2001,3467937.0,1,0.0
CO,2001,4425687.0,2,4448803.17
PA,2001,12298970.0,1,6486148.869999999
KS,2001,2702162.0,1,2602579.8699999996
NJ,2001,8492671.0,1,86935332.55
LA,2001,4477875.0,2,12825753.82
SC,2001,4064995.0,1,0.0
IA,2001,2931997.0,1,8303399.55
KY,2001,4068132.0,4,11329830.46
AL,2001,4467634.0,3,6841488.79
UT,2001,2283715.0,1,0.0
OH,2001,11387404.0,1,5693274.66
ND,2001,639062.0,1,22681752.23
DC,2001,574504.0,1,669301.77
WY,2001,494657.0,3,0.0
MA,2001,6397634.0,2,20369039.09
AR,2001,2691571.0,1,2881023.04
VA,2001,7198362.0,5,7195465.21
IL,2001,12488445.0,2,21576819.19
FL,2001,16356966.0,12,39114401.01
WI,2001,5406835.0,2,24139139.810000002
PR,2001,3818774.0,2,9643453.31
WA,2001,5985722.0,9,65232803.71
VT,2001,612223.0,2,1919128.3499999999
ME,2001,1285692.0,2,4337185.49
NE,2001,1719836.0,2,4210272.04
IN,2001,6127760.0,1,3488222.44
OK,2001,3467100.0,3,163575741.48999998
NY,2001,19082838.0,2,4724718896.92
KS,2002,2713535.0,1,43823121.43
NC,2002,8326201.0,1,84583691.07
ND,2002,638168.0,2,1088047.8
WA,2002,6052349.0,2,0.0
NJ,2002,8552643.0,1,0.0
AK,2002,642337.0,3,29556449.99
SD,2002,760020.0,2,0.0
CO,2002,4490406.0,18,0.0
WI,2002,5445162.0,2,5447407.74
MS,2002,2858681.0,2,26242873.0
MT,2002,911667.0,1,1361885.73
OR,2002,3513424.0,9,4602110.08
TN,2002,5795918.0,2,10459930.79
KY,2002,4089875.0,2,18497199.65
OH,2002,11407889.0,1,0.0
SC,2002,4107795.0,1,0.0
IL,2002,12525556.0,1,15025569.42
WY,2002,500017.0,3,0.0
UT,2002,2324815.0,1,0.0
AR,2002,2705927.0,1,2113392.78
MD,2002,5440389.0,1,4125809.9899999998
NY,2002,19137800.0,2,5711497.88
IN,2002,6155967.0,2,7847207.42
AL,2002,4480089.0,2,14896970.72
AZ,2002,5396255.0,6,1193473.8599999999
VT,2002,615442.0,1,1700653.1400000001
MI,2002,10015710.0,1,4724594.6899999995
NV,2002,2173791.0,4,0.0
IA,2002,2934234.0,1,5360611.22
MN,2002,5018935.0,2,25649487.150000002
VA,2002,7286873.0,3,12533441.52
TX,2002,21690325.0,3,27045686.39
LA,2002,4497267.0,2,76029639.24
NM,2002,1855309.0,9,0.0
WV,2002,1805414.0,1,14954299.05
OK,2002,3489080.0,1,107083436.75999999
CA,2002,34871843.0,12,0.0
MO,2002,5674825.0,2,76968262.61
DE,2003,818003.0,3,14015229.100000001
IL,2003,12556006.0,1,0.0
MA,2003,6422565.0,1,27925806.02
HI,2003,1251154.0,1,0.0
UT,2003,2360137.0,1,0.0
WA,2003,6104115.0,4,8846438.99
MD,2003,5496269.0,2,63218559.22
NC,2003,8422501.0,2,83904930.95
MO,2003,5709403.0,1,18980515.0
ME,2003,1306513.0,2,2042549.48
IN,2003,6196638.0,2,6649718.14
LA,2003,4521042.0,1,392251.76
FL,2003,17004085.0,2,11406602.64
VT,2003,617858.0,1,912664.88
KY,2003,4117170.0,3,48818979.2
MI,2003,10041152.0,1,4726060.5600000005
KS,2003,2723004.0,1,5947046.21
MS,2003,2868312.0,2,5756769.27
MT,2003,919630.0,8,0.0
ND,2003,638817.0,1,827871.5
TX,2003,22030931.0,2,23273486.22
TN,2003,5847812.0,3,78512773.92
